Name;Age;Nationality;Overall;Potential;Club;Preferred Foot;Work Rate;Real Face;Position;Finishing;HeadingAccuracy;Dribbling;BallControl;Acceleration;Agility;ShotPower;Stamina;Strength;Aggression;Penalties
J. Torres;18;Mexico;61;76;Club Atlas;Right;Medium/ Medium;No;RW;63;65;65;53;73;79;59;47;31;32;65
J. Coustrain;22;Republic of Ireland;61;72;Shamrock Rovers;Left;High/ Medium;No;LM;51;32;64;65;78;77;58;56;54;48;50
W. Mosquera;33;Colombia;61;61;Jaguares de Córdoba;Right;Medium/ Medium;No;GK;13;17;19;20;46;33;24;21;76;16;21
M. Chouiar;19;France;61;75;Racing Club de Lens;Right;Medium/ Medium;No;RM;58;43;65;62;61;78;55;61;43;38;57
B. Héry;26;France;61;64;Waterford FC;Right;Medium/ Low;No;LCM;42;47;60;63;78;74;49;67;62;51;38
A. Nilsson;27;Sweden;61;61;IF Brommapojkarna;Right;High/ Medium;No;RW;59;45;62;59;73;69;60;75;64;72;48
B. Figueroa;19;Chile;61;78;Audax Italiano;Right;Medium/ Medium;No;CAM;44;39;62;61;71;72;52;65;59;40;49
R. de la Rosa;18;Mexico;61;79;Pachuca;Right;Medium/ Medium;No;ST;65;63;57;57;69;60;52;69;60;32;72
M. Sagnan;19;France;61;78;Racing Club de Lens;Left;Medium/ Medium;No;CB;28;60;38;46;53;55;40;60;72;59;39
Z. Bakayogo;31;Ivory Coast;61;61;Tranmere Rovers;Left;Medium/ Medium;No;LB;36;44;62;61;69;71;42;59;69;59;35
N. Barona;20;Colombia;61;76;La Equidad;Right;Medium/ Medium;No;LM;50;44;64;63;75;73;55;65;43;28;51
J. Sierra;21;Chile;61;72;Unión Española;Right;Medium/ Medium;No;ST;65;61;58;61;69;61;62;59;72;27;58
A. Ryczkowski;21;Poland;61;70;Górnik Zabrze;Right;Medium/ Medium;No;LM;58;51;63;64;73;77;57;57;55;28;53
L. Jonsson;25;Sweden;61;65;IK Sirius;Right;Medium/ Medium;No;GK;6;13;11;19;36;44;16;28;73;24;17
C. Reppesgård;25;Norway;61;64;Sandefjord Fotball;Right;Medium/ High;No;CB;28;52;53;57;62;62;62;68;70;63;26
B. Allain;26;France;61;63;Dijon FCO;Right;Medium/ Medium;No;GK;15;18;21;23;25;30;18;25;55;20;26
M. Uusitalo;21;Finland;61;71;HJK Helsinki;Right;Medium/ Medium;No;GK;9;13;8;13;33;39;17;33;58;15;12
T. Alarcón;18;Chile;61;76;CD O'Higgins;Right;Medium/ Medium;No;CB;41;65;41;60;61;71;49;65;60;62;49
J. Chianese;28;Australia;61;61;Perth Glory;Right;Medium/ High;No;RM;59;42;58;64;59;70;60;66;63;35;55
K. Howkins;22;England;61;65;West Bromwich Albion;Right;Low/ High;No;CB;26;60;44;51;65;62;33;69;84;54;35
B. Galindo;19;Mexico;61;70;Guadalajara;Right;Low/ High;No;CB;27;62;35;37;59;35;43;54;77;50;39
I. Minchev;27;Bulgaria;61;62;;Right;High/ Medium;No;CM;52;43;67;54;63;63;54;62;33;39;45
A. Zekaj;18;Serbia;61;76;LOSC Lille;Right;Medium/ Medium;No;CDM;43;58;55;56;62;57;58;67;72;63;51
T. Vaiho;29;Sweden;61;61;Djurgårdens IF;Right;Medium/ Medium;No;GK;12;12;16;16;31;33;49;39;72;35;17
L. Sotomayor;21;Chile;61;73;Deportes Iquique;Right;Medium/ Medium;No;GK;19;19;14;17;42;33;20;18;63;19;24
B. Kennedy;21;Northern Ireland;61;69;Stevenage;Left;High/ Low;No;RM;58;29;59;64;72;83;51;72;51;76;61
N. Baxter;19;England;61;72;Yeovil Town;Right;Medium/ Medium;No;GK;11;13;14;31;36;28;21;31;52;25;11
E. Rueda;22;Argentina;61;69;Argentinos Juniors;Right;Medium/ Medium;No;RW;61;43;64;60;74;64;62;51;58;38;62
R. Hepburn-Murphy;19;England;61;75;Aston Villa;Right;High/ Medium;No;ST;62;58;67;60;77;65;62;66;34;40;63
K. Gipson;22;Germany;61;68;SV Sandhausen;Right;High/ Medium;No;RB;31;58;57;55;74;69;44;62;61;59;36
I. Hajtić;20;Bosnia Herzegovina;61;72;FC Würzburger Kickers;Right;Medium/ Medium;No;CB;19;60;33;38;49;50;42;47;83;62;33
J. Vollert;20;Germany;61;72;SV Werder Bremen;Right;Medium/ Medium;No;CB;38;56;55;58;55;55;52;61;69;60;42
K. Zapolnik;25;Poland;61;64;Górnik Zabrze;Right;Medium/ Medium;No;RM;65;65;58;60;63;68;59;68;66;62;64
G. Gül;19;Germany;61;75;Fortuna Düsseldorf;Right;Medium/ High;No;CB;21;61;45;52;64;67;39;64;67;51;39
S. Klaas;20;Germany;61;76;VfL Osnabrück;Right;Medium/ Medium;No;CAM;42;25;64;64;74;71;40;67;39;44;38
C. O'Malley;23;Republic of Ireland;61;68;Peterborough United;Right;Medium/ Medium;No;GK;15;13;13;17;38;45;19;45;40;18;24
F. Al Aiyaf;26;Saudi Arabia;61;62;Al Hazem;Left;Medium/ Medium;No;RDM;44;55;65;64;73;82;56;70;40;44;57
L. Mosevich;21;Argentina;61;73;FC St. Gallen;Right;Low/ Medium;No;CB;20;55;31;40;58;34;48;56;72;67;42
R. Porteous;19;Scotland;61;78;Hibernian;Right;Medium/ Medium;No;LCB;23;60;40;37;60;41;33;68;71;65;36
H. Mörschel;20;Germany;61;73;Holstein Kiel;Right;Medium/ Medium;No;CF;65;62;65;64;63;64;67;44;67;30;48
G. Sağlam;20;Germany;61;74;VfL Bochum 1848;Right;High/ Medium;No;CAM;42;47;63;65;76;79;53;58;42;39;52
B. Bödvarsson;23;Iceland;61;69;Jagiellonia Białystok;Left;High/ Medium;No;LB;24;48;51;58;75;63;28;72;62;53;39
F. Geisler;21;Germany;61;70;FC Energie Cottbus;Right;Medium/ Medium;No;CAM;52;30;64;64;90;91;63;64;32;71;47
G. Omotayo;24;Switzerland;61;64;Bury;Right;Medium/ Medium;No;ST;59;63;44;57;67;49;66;64;86;72;56
D. Rogers;24;Republic of Ireland;61;69;St. Mirren;Right;Medium/ Medium;No;GK;13;16;14;27;44;37;25;21;60;22;32
A. Zendejas;22;United States;61;71;Sporting Kansas City;Right;Medium/ Medium;No;GK;17;17;14;22;35;37;20;24;57;18;24
T. Chorý;23;Czech Republic;61;66;Viktoria Plzeň;Right;Medium/ Medium;No;ST;57;80;48;44;45;50;61;59;95;53;50
J. Vázquez;23;Argentina;61;67;Deportivo Pasto;Right;Medium/ Medium;No;ST;60;47;63;57;76;73;64;59;63;37;62
Yun Ju Tae;28;Korea Republic;61;61;FC Seoul;Right;Medium/ Medium;No;RS;58;54;58;55;74;84;61;59;66;64;44
T. Masuda;29;Japan;61;63;V-Varen Nagasaki;Right;Medium/ Medium;No;GK;8;14;10;10;17;31;18;21;67;19;13
L. Lauberbach;20;Germany;61;69;FSV Zwickau;Right;High/ Medium;No;LS;55;58;63;59;67;63;63;68;67;27;52
Y. Clementia;20;France;61;72;OGC Nice;Right;Medium/ Medium;No;GK;9;12;11;23;36;44;15;28;65;25;12
D. Orlishausen;35;Germany;61;61;FC Hansa Rostock;Right;Medium/ Medium;No;GK;6;8;11;19;33;35;18;36;72;36;22
D. Whitaker;37;England;61;61;Macclesfield Town;Right;Medium/ Medium;No;RDM;58;49;56;65;59;74;64;66;65;48;63
A. Khormi;27;Saudi Arabia;61;61;Al Hazem;Right;High/ Medium;No;RM;64;55;62;60;94;88;59;70;33;27;63
L. Marić;31;Croatia;61;61;Arka Gdynia;Right;Medium/ Medium;No;RCB;24;53;56;58;58;51;42;64;68;64;58
F. Benko;20;Germany;61;77;LASK Linz;Left;Medium/ Medium;No;CAM;39;55;65;66;65;68;63;54;59;51;52
Liu Zhenli;33;China PR;61;61;Shandong Luneng TaiShan FC;Right;Medium/ Medium;No;GK;14;15;12;25;54;52;18;44;47;29;14
M. Piccinocchi;23;Italy;61;72;FC Lugano;Right;Medium/ High;No;LCM;42;55;57;66;62;79;63;62;55;68;55
A. Paşcanu;19;Romania;61;77;;Right;Medium/ High;No;CB;30;51;58;60;70;60;35;69;67;70;45
A. Al Harbi;29;Saudi Arabia;61;61;Al Hazem;Left;Medium/ Medium;No;CB;30;57;49;50;66;57;41;59;68;60;47
Kim Gyeong Min;26;Korea Republic;61;64;Jeju United FC;Right;Medium/ Medium;No;GK;19;16;16;20;49;40;17;26;58;18;21
R. González;22;Chile;61;68;San Luis de Quillota;Right;Medium/ Medium;No;RM;37;49;61;64;72;64;47;74;68;57;41
Song Soo Yeong;26;Korea Republic;61;61;Sangju Sangmu FC;Right;High/ Medium;No;LM;62;53;62;65;73;66;63;62;63;56;57
Y. Nakazawa;40;Japan;61;61;Yokohama F. Marinos;Right;Low/ High;No;CB;40;67;40;63;29;28;59;28;55;69;31
A. Al Ammar;24;Saudi Arabia;61;67;Al Fateh;Left;High/ Medium;No;LB;59;51;61;64;71;69;59;72;64;38;43
J. Ibehre;35;England;61;61;Cambridge United;Right;Medium/ Medium;No;ST;56;59;59;59;62;47;60;80;90;60;56
Jeong Dong Yun;24;Korea Republic;61;66;Incheon United FC;Left;Medium/ High;No;RB;27;44;52;57;66;65;35;67;67;48;52
M. Harzan;29;Saudi Arabia;61;61;Al Taawoun;Right;Medium/ Medium;No;LM;43;43;66;59;75;78;49;66;47;56;45
G. Hatano;20;Japan;61;74;FC Tokyo;Right;Medium/ Medium;No;GK;5;13;14;16;18;35;17;28;73;17;12
Li Yuanyi;24;China PR;61;64;Tianjin TEDA FC;Right;Medium/ Medium;No;RW;54;51;60;60;69;72;64;74;57;46;56
M. Dobre;19;Romania;61;75;Bournemouth;Right;High/ Medium;No;RM;46;40;67;62;77;78;54;68;55;59;48
N. Fernández;18;Chile;61;77;Audax Italiano;Right;Medium/ Medium;No;RM;34;57;38;49;70;70;48;71;54;53;45
M. López;20;Argentina;61;72;Club Atlético Banfield;Right;High/ High;No;ST;64;62;60;58;60;69;66;57;60;40;63
C. Dilo;24;France;61;68;Paris FC;Right;Medium/ Medium;No;GK;15;13;23;20;43;37;20;21;60;21;24
J. Beste;19;Germany;61;77;SV Werder Bremen;Left;High/ Medium;No;LB;39;38;62;64;69;68;52;66;53;47;38
D. Thomas;22;Scotland;61;69;Kilmarnock;Left;High/ Low;No;RM;50;49;59;57;69;79;59;66;54;54;49
E. Edwards Jr.;26;United States;61;66;Orlando City SC;Right;Medium/ Medium;No;GK;15;19;16;18;40;35;20;45;85;18;25
A. Al Jadani;27;Saudi Arabia;61;62;Al Wehda;Right;Medium/ Medium;No;GK;16;15;15;18;49;47;16;42;49;35;22
M. Engelhardt;25;Germany;61;66;Eintracht Braunschweig;Right;Medium/ Medium;No;GK;13;18;18;19;48;39;24;38;79;17;19
C. Yüksel;20;Turkey;61;75;Galatasaray SK;Left;Medium/ Medium;No;CM;36;60;63;65;68;59;63;56;44;65;45
T. Casali;22;Austria;61;67;SV Mattersburg;Right;Medium/ Medium;No;GK;7;15;10;20;33;30;27;32;38;19;13
D. Jaiyesimi;20;England;61;73;Yeovil Town;Right;High/ Medium;No;LS;58;52;62;58;84;72;59;74;65;49;57
Y. Bisseck;17;Germany;61;82;1. FC Köln;Right;Medium/ Medium;No;CB;29;60;39;48;62;49;42;61;74;45;49
A. Sarr;27;Senegal;61;61;Paris FC;Right;Medium/ Low;No;ST;67;59;66;63;74;70;62;52;44;29;63
T. Svendsen;18;Norway;61;76;FK Haugesund;Right;Medium/ High;No;CM;37;36;68;64;83;94;52;55;52;72;46
J. Williams;25;England;61;63;Rochdale;Left;High/ High;No;RM;58;42;63;60;82;65;61;79;64;40;54
B. Risa;20;Norway;61;75;Odds BK;Left;High/ Medium;No;LB;58;55;64;64;79;59;58;64;69;59;50
D. Contreras;24;Colombia;61;68;Jaguares de Córdoba;Right;Medium/ Medium;No;CDM;41;46;52;64;82;73;50;73;56;55;34
B. Halliday;22;England;61;69;Cambridge United;Right;High/ Medium;No;RB;33;51;61;58;74;83;52;78;64;60;38
L. Dietz;21;Germany;61;73;VfL Sportfreunde Lotte;Right;Medium/ Medium;No;LDM;29;61;52;57;59;54;56;64;69;65;38
N. Al Omran;20;Saudi Arabia;61;69;Al Shabab;Right;Medium/ Medium;No;CAM;47;42;54;57;69;84;54;42;55;40;49
Parra;22;Spain;61;68;AD Alcorcón;Right;Medium/ Medium;No;RB;28;54;70;49;63;59;34;60;39;55;41
R. Taylor;28;Wales;61;63;Macclesfield Town;Right;Medium/ Medium;No;GK;13;14;12;17;35;54;21;33;38;17;16
C. Thomas;24;England;61;66;Cheltenham Town;Right;Medium/ Medium;No;LCM;42;59;52;60;69;74;56;74;73;61;49
O. Ómarsson;23;Iceland;61;69;Sarpsborg 08 FF;Right;Medium/ Medium;No;CB;31;56;49;54;65;69;52;63;72;60;43
S. Kopp;23;Germany;61;69; SSV Jahn Regensburg;Right;Medium/ High;No;CB;18;64;32;48;53;31;34;51;89;57;30
Chen Binbin;20;China PR;61;74;Shanghai SIPG FC;Right;Medium/ Medium;No;LW;58;49;63;56;80;77;51;66;66;42;56
M. Toye;19;United States;61;76;Minnesota United FC;Right;Medium/ Medium;No;ST;59;62;63;60;69;69;66;59;73;70;59
Cordero;23;Spain;61;68;Gimnàstic de Tarragona;Right;Medium/ Medium;No;GK;7;14;6;12;17;33;17;17;57;26;13
N. Jackson;22;United States;61;70;Colorado Rapids;Right;Medium/ Medium;No;ST;61;63;56;55;83;68;62;51;74;62;59
B. Källman;19;Finland;61;70;Dundee FC;Right;High/ Medium;No;ST;61;68;59;55;78;72;51;67;61;28;60
L. Cueto;22;Germany;61;69;SC Preußen Münster;Left;Medium/ Medium;No;LM;52;45;66;63;91;85;63;56;32;39;56
Guillamón;18;Spain;61;81;Valencia CF;Right;Medium/ Medium;No;CB;26;59;45;58;52;51;41;48;60;54;34
P. Camara;25;Senegal;61;67;Grenoble Foot 38;Right;Medium/ Medium;No;GK;9;12;15;24;44;36;14;32;47;24;23
W. Cuesta;25;Colombia;61;67;Deportes Tolima;Right;Medium/ Medium;No;GK;16;14;17;25;44;38;20;38;73;21;22
Campos;23;Spain;61;70;CD Numancia;Right;Medium/ Medium;No;GK;7;13;5;12;32;50;22;33;62;16;17
F. Plach;26;Slovakia;61;64;Piast Gliwice;Right;Medium/ Medium;No;GK;9;14;10;18;32;39;29;19;60;28;10
H. Belal;24;Saudi Arabia;61;65;Al Qadisiyah;Right;Medium/ Medium;No;CDM;34;55;50;56;52;48;51;71;70;67;37
D. Foulon;19;Belgium;61;73;Waasland-Beveren;Left;Medium/ Medium;No;LB;23;49;61;62;73;66;42;56;60;65;34
L. Fritzson;22;Sweden;61;67;Östersunds FK;Right;Medium/ Medium;No;RW;51;34;65;65;79;80;60;67;62;52;48
P. Da Silva;19;United States;61;78;Orlando City SC;Left;Medium/ Low;No;CAM;44;42;64;64;72;81;53;62;52;53;58
K. Skaanes;23;Norway;61;70;IK Start;Right;Medium/ Medium;No;CM;58;41;66;67;74;68;55;67;55;45;48
I. Ugbo;19;England;61;76;Scunthorpe United;Right;High/ Medium;Yes;ST;60;57;55;59;80;66;58;49;64;60;52
C. Operi;21;France;61;74;La Berrichonne de Châteauroux;Left;High/ Medium;No;LWB;41;57;67;67;71;56;64;54;56;52;60
C. Köppel;23;Germany;61;65;TSV 1860 München;Left;Medium/ Medium;No;LB;56;53;55;59;65;66;61;74;63;62;42
C. Dickinson;31;England;61;61;Yeovil Town;Left;Medium/ High;No;LB;39;60;54;61;45;45;55;72;83;81;43
T. Robinet;21;France;61;73;FC Sochaux-Montbéliard;Right;Medium/ Medium;No;RW;60;60;58;59;70;73;63;63;74;41;65
Yeremi Valerón;21;Spain;61;71;UD Las Palmas;Left;Medium/ Medium;No;LB;27;54;62;51;67;46;20;66;63;49;37
S. Finley;25;England;61;64;Accrington Stanley;Left;Medium/ Medium;No;LCM;47;57;60;60;69;67;57;75;66;75;49
A. Bruhn;24;Denmark;61;65;Randers FC;Right;Medium/ Medium;No;RM;54;47;64;65;67;69;58;60;60;40;48
M. Amundsen;20;Denmark;61;74;Eintracht Braunschweig;Left;Medium/ Medium;No;LB;38;39;62;61;76;65;64;75;72;54;36
T. Vollnhofer;33;Austria;61;61;SKN St. Pölten;Right;Medium/ Medium;No;GK;11;14;10;25;47;31;19;32;48;18;24
N. Atangana;28;France;61;61;Cheltenham Town;Right;Medium/ High;No;RCM;43;62;54;61;69;67;63;88;76;68;46
D. Tchamba;19;Cameroon;61;74;RC Strasbourg Alsace;Left;Medium/ Medium;No;CB;27;58;35;40;76;47;40;58;74;51;40
A. Kartalis;23;Greece;61;65;FSV Zwickau;Left;High/ Medium;No;LB;46;49;64;62;77;81;59;68;55;52;55
J. Victoria;22;Colombia;61;72;Granada CF;Right;Medium/ Medium;No;ST;64;54;59;58;67;62;69;44;59;26;57
E. Orona;19;Mexico;61;78;Pachuca;Right;High/ Medium;No;CB;45;54;53;54;68;59;53;69;65;54;50
K. Yamaguchi;22;Japan;61;71;Kashima Antlers;Right;Medium/ Low;No;ST;65;58;54;60;69;66;59;61;49;51;62
Angel Sánchez;20;Spain;61;69;RCD Espanyol;Right;Medium/ Medium;No;LM;60;60;57;59;70;59;59;49;61;29;70
B. Kindsvater;25;Germany;61;64;TSV 1860 München;Left;Medium/ Medium;No;RM;58;31;60;59;75;71;56;64;45;48;52
N. Laursen;20;Denmark;61;75;Brøndby IF;Left;Medium/ Medium;No;ST;60;50;69;68;79;78;64;39;53;33;54
L. Bolton;18;England;61;79;Manchester City;Right;High/ High;No;RM;50;51;57;62;82;75;56;54;61;65;56
R. Miller;29;England;61;61;Port Vale;Left;High/ Low;No;LS;65;50;54;54;74;71;63;56;61;62;51
P. Kotal;24;India;61;66;;Right;High/ Medium;No;RB;27;47;53;56;80;72;45;64;67;49;43
F. Saavedra;21;Chile;61;69;Universidad de Chile;Left;High/ Medium;No;LB;41;49;63;63;78;74;51;70;65;38;48
J. Lorch;22;Germany;61;66;SV Wehen Wiesbaden;Right;High/ High;No;RB;34;58;57;61;63;58;51;86;71;60;52
M. Hosseini;22;Iran;61;67;Trabzonspor;Right;Medium/ Medium;No;LCB;18;60;30;52;55;43;45;51;54;50;40
I. Aguilar;20;Mexico;61;74;Club América;Right;Medium/ Medium;No;CDM;34;58;53;59;64;52;64;48;60;67;54
Gorka Giralt;22;Spain;61;71;Real Oviedo;Left;Medium/ Medium;No;GK;7;11;9;10;36;40;24;28;61;19;18
T. Kainz;25;Austria;61;64;TSV Hartberg;Right;Medium/ Medium;No;RB;51;51;54;57;68;69;60;75;65;51;41
D. Barnes;22;England;61;70;Colchester United;Left;Medium/ Medium;No;GK;19;22;22;32;59;52;32;35;59;30;29
T. Buitink;18;Netherlands;61;77;Vitesse;Right;Medium/ Low;No;ST;66;53;60;68;70;56;54;52;58;41;48
H. Eisa;25;Burkina Faso;61;66;Ohod Club;Right;Medium/ Medium;No;ST;61;68;56;51;68;67;60;68;68;42;67
D. Hyam;22;Scotland;61;73;Coventry City;Right;Medium/ Medium;No;LCB;23;61;27;42;55;59;43;53;63;58;31
T. Denton;22;England;61;70;Peterborough United;Left;Medium/ Medium;No;LB;46;43;59;61;78;76;58;62;59;54;56
B. Ziegenbein;32;Germany;61;61;FC Energie Cottbus;Right;High/ Medium;No;RM;58;46;64;63;70;77;71;33;70;70;61
Adrià Pedrosa;20;Spain;61;71;RCD Espanyol;Left;Medium/ Medium;No;LB;43;47;60;63;66;69;50;62;51;54;38
A. Stadler;30;United States;61;61;Dalkurd FF;Right;High/ High;No;ST;59;52;61;55;74;76;57;77;60;77;57
Li Xiaoming;22;China PR;61;68;Shanghai Greenland Shenhua FC;Right;Medium/ High;No;CB;37;55;53;56;69;66;41;82;62;59;32
R. Muhammed;24;France;61;64;Sarpsborg 08 FF;Right;High/ Medium;No;RS;54;52;63;58;93;77;58;73;75;56;58
M. Al Mania;22;Saudi Arabia;61;72;Al Hazem;Right;High/ Low;No;ST;62;50;63;63;80;75;60;55;67;33;59
A. López;21;Mexico;61;71;Club América;Left;High/ Medium;No;LW;55;47;67;65;73;68;63;57;43;45;61
L. Ralte;25;India;61;62;;Left;High/ Low;No;LW;54;44;60;62;80;71;66;55;58;36;56
M. Payares;23;Colombia;61;71;Deportivo Pasto;Right;Low/ Low;No;CB;19;53;30;29;65;45;40;55;78;48;33
F. Sucsuz;22;Turkey;61;71;FC Carl Zeiss Jena;Left;Medium/ Medium;No;LM;44;45;61;58;78;82;41;67;58;48;38
C. Cásseres Jr;18;Venezuela;61;78;New York Red Bulls;Right;Medium/ Medium;No;CM;41;42;66;67;70;72;49;57;43;55;48
K. Etuhu;30;Nigeria;61;61;Carlisle United;Right;Low/ Medium;No;CM;61;53;58;60;57;32;60;58;77;66;60
A. Al Saleh;28;Saudi Arabia;61;61;Ettifaq FC;Right;Medium/ Medium;No;GK;14;13;15;17;48;32;20;35;60;24;22
Zheng Dalun;24;China PR;61;66;Tianjin Quanjian FC;Right;High/ Medium;No;RM;49;39;67;65;65;85;56;73;30;44;45
H. Charsley;21;Republic of Ireland;61;69;Everton;Right;Medium/ Medium;Yes;LM;49;58;63;67;56;61;53;50;41;49;56
Giovanni;19;Spain;61;74;CD Tenerife;Right;Medium/ Medium;No;ST;63;51;66;60;77;62;60;61;37;38;64
M. Barnofsky;23;Germany;61;66;Carpi;Right;Medium/ Medium;No;CB;30;62;30;46;55;51;58;68;78;80;38
H. Dunk;27;England;61;61;Cambridge United;Left;High/ High;No;LM;44;41;61;58;76;80;50;80;62;40;47
T. Galdames;19;Chile;61;72;Unión Española;Left;Medium/ Medium;No;LB;44;59;38;46;53;59;61;67;70;71;45
S. Ando;27;Japan;61;62;Kawasaki Frontale;Right;Medium/ Medium;No;GK;11;12;9;19;45;60;24;32;68;20;12
A. Dabasse;24;France;61;63;Chamois Niortais Football Club;Left;Medium/ Medium;No;ST;59;62;58;61;55;54;71;59;71;42;64
S. Mladenovic;24;Norway;61;67;Odds BK;Right;Medium/ Medium;No;LW;55;35;59;60;90;84;55;65;55;50;50
J. Hessenthaler;24;England;61;63;Grimsby Town;Right;Medium/ High;No;RCM;41;49;57;62;73;72;66;72;62;70;39
Fran Sánchez;28;Spain;61;61;SV Mattersburg;Left;Medium/ Medium;No;LM;49;57;63;59;69;61;56;66;64;62;37
M. Funk;22;Germany;61;70;SpVgg Greuther Fürth;Right;Medium/ Medium;No;GK;9;12;12;13;39;37;14;28;61;27;19
S. Amuzie;22;Nigeria;61;71;FC Lugano;Left;Low/ Medium;No;LB;33;55;55;54;68;59;47;54;75;64;36
C. Villanueva;19;Chile;61;76;Colo-Colo;Right;Medium/ Medium;No;CAM;59;48;66;64;67;73;51;70;65;55;65
Wang Fan;31;China PR;61;61;Guizhou Hengfeng FC;Left;High/ Medium;No;LB;43;41;66;64;64;48;43;63;73;64;38
A. Egholm;35;Denmark;61;61;SønderjyskE;Right;Low/ High;No;CB;22;61;19;52;34;50;41;48;83;69;22
B. Koglin;21;Germany;61;70;FC St. Pauli;Left;Medium/ Medium;No;CB;17;58;36;54;66;60;30;54;69;52;24
D. Tuma;22;Germany;61;68;Hallescher FC;Left;High/ Low;No;LM;52;36;66;60;85;73;58;60;58;30;46
J. Thorsen;28;Denmark;61;61;Eintracht Braunschweig;Right;Medium/ High;No;RCM;55;60;59;59;64;62;48;87;68;58;35
Álex Dos Santos;19;Brazil;61;75;Atlético Madrid;Right;Medium/ Medium;No;GK;12;13;11;10;22;23;13;45;52;22;15
M. Awoudja;20;Germany;61;72;FC Bayern München;Right;Medium/ Medium;No;CB;31;72;34;43;66;53;46;63;72;53;42
S. Brodersen;21;Germany;61;71;FC St. Pauli;Right;Medium/ Medium;No;GK;16;18;14;21;42;38;18;29;57;22;24
Ryu Jae Moon;24;Korea Republic;61;65;Daegu FC;Right;Medium/ Medium;No;LCM;39;51;53;57;64;56;52;71;61;43;50
L. Alzugaray;28;Argentina;61;61;Newell's Old Boys;Left;Medium/ Medium;No;CAM;50;40;65;67;60;58;55;66;53;42;54
I. Franjic;20;Croatia;61;71;Eintracht Braunschweig;Right;Medium/ Medium;No;CAM;46;35;63;63;69;75;68;52;56;38;49
M. Mara;21;Guinea;61;69;FC Lorient;Right;Medium/ Low;No;LM;67;66;61;65;75;77;62;49;36;34;66
A. Brorsson;19;Sweden;61;72;Örebro SK;Right;Medium/ Medium;No;CB;15;65;36;45;58;51;28;63;74;56;29
O. Petrak;27;Croatia;61;62;Korona Kielce;Right;Medium/ Medium;No;RDM;45;54;58;59;60;58;50;69;69;57;45
Rafael Camacho;18;Portugal;61;81;Liverpool;Right;Medium/ Medium;No;CAM;58;48;63;64;69;65;57;41;46;43;55
P. Will;19;Germany;61;77;FC Bayern München;Left;Medium/ Medium;No;CM;41;58;60;59;58;63;60;59;67;62;48
A. Dønnum;20;Norway;61;71;Vålerenga Fotball;Left;High/ Medium;No;RM;53;46;63;62;71;69;60;69;56;52;42
S. Tanser;23;England;61;65;St. Johnstone FC;Left;High/ Medium;No;LB;45;50;51;59;76;71;47;67;62;45;61
K. Danielak;26;Poland;61;61;Arka Gdynia;Right;High/ Medium;No;RM;54;49;56;59;72;65;51;68;59;45;53
Y. Diouf;18;France;61;79;ESTAC Troyes;Right;Medium/ Medium;No;GK;8;14;12;15;45;35;25;44;52;26;11
Brian Torres;21;Spain;61;73;CD Tenerife;Right;Medium/ Medium;No;CB;39;55;55;57;71;60;59;66;66;62;49
L. Jackson;23;Australia;61;70;Newcastle Jets;Left;Medium/ Medium;No;LB;21;59;35;39;57;42;35;66;87;54;36
Aitor Lorea;20;Spain;61;77;CA Osasuna;Right;Medium/ Medium;No;RM;59;39;61;60;76;75;54;61;56;49;52
A. Pinga;20;Switzerland;61;73;Grasshopper Club Zürich;Right;Medium/ Medium;No;ST;59;60;56;56;74;63;60;64;84;40;70
N. Andereggen;18;Argentina;61;79;Unión de Santa Fe;Left;Medium/ Medium;No;ST;64;47;67;59;68;79;62;65;68;28;65
M. Ambrosiewicz;20;Poland;61;70;Górnik Zabrze;Right;Medium/ Medium;No;CM;39;46;57;59;62;72;60;69;62;70;45
M. Forss;19;Finland;61;73;Brentford;Right;High/ Medium;No;ST;71;58;41;55;61;56;71;50;61;53;52
B. Álvarez;22;Mexico;61;69;Monarcas Morelia;Left;High/ High;No;LB;34;61;65;54;69;59;29;66;59;74;39
P. Michael;20;Nigeria;61;71;Vålerenga Fotball;Right;Medium/ Medium;No;ST;63;54;59;60;65;57;60;64;84;46;43
J. Wallace;26;England;61;61;Fleetwood Town;Right;High/ High;No;CM;55;54;50;61;49;62;64;50;63;63;47
A. Helmersen;20;Norway;61;72;Ranheim Fotball;Left;High/ Low;No;ST;62;52;56;59;66;56;66;66;79;54;57
A. Yildirim;23;Germany;61;67;VfL Sportfreunde Lotte;Right;High/ Medium;No;ST;60;55;58;60;75;59;71;63;55;45;65
Ángel López;21;Spain;61;71;SD Eibar;Left;Medium/ Medium;No;LM;62;35;65;61;62;44;53;52;53;31;48
D. Byrtek;27;Poland;61;63;Piast Gliwice;Right;Medium/ Medium;No;CB;12;65;25;30;65;44;23;75;86;80;34
D. Telford;21;England;61;70;Bury;Left;Medium/ Medium;Yes;ST;63;56;56;60;80;58;64;68;56;56;68
S. Old;32;New Zealand;61;61;Morecambe;Right;Low/ Medium;No;CB;16;61;46;51;49;48;32;64;74;47;35
H. Tifner;21;Argentina;61;70;Gimnasia y Esgrima La Plata;Right;Medium/ Medium;No;CAM;41;45;53;68;55;53;53;48;46;47;58
Jiang Jiajun;28;China PR;61;61;Chongqing Dangdai Lifan FC SWM Team;Right;Medium/ High;No;RB;22;44;53;48;68;62;23;78;68;73;33
S. Erimuya;20;Nigeria;61;70;Cádiz CF;Right;Low/ Medium;No;CB;29;59;35;54;67;57;42;69;58;56;44
